target,source,syn_per_cell,du,dv
T4a,C3,7.0,-0.33,0.63
T4a,Mi1,72.2,-0.04,0.04
T4a,Mi4,14.1,-0.33,0.53
T4a,Mi9,26.7,0.37,-0.55
T4a,T4a,21.9,0.21,-0.36
T4a,T5a,4.0,0.01,-0.07
T4a,Tm3,31.5,0.12,0.01
T4b,C3,6.5,0.43,-0.61
T4b,Mi1,63.6,0.04,-0.04
T4b,Mi4,15.6,0.4,-0.59
T4b,Mi9,30.1,-0.38,0.53
T4b,T4b,26.9,-0.16,0.19
T4b,T5b,7.0,0.12,-0.09
T4b,Tm3,32.4,0.1,-0.0
T4c,C3,4.1,0.84,0.74
T4c,Mi1,67.2,0.1,0.08
T4c,Mi4,14.0,0.87,0.63
T4c,Mi9,30.1,-0.74,-0.57
T4c,T4c,18.4,-0.38,-0.3
T4c,T5c,5.0,0.14,0.1
T4c,Tm3,29.0,0.15,-0.0
T4d,C3,4.5,-0.9,-0.91
T4d,Mi1,62.6,-0.06,-0.09
T4d,Mi4,12.3,-0.8,-0.91
T4d,Mi9,27.3,0.65,0.76
T4d,T4d,18.7,0.36,0.34
T4d,T5d,4.8,0.0,-0.16
T4d,Tm3,27.6,0.2,0.02
T5a,T4a,4.7,-0.05,0.13
T5a,T5a,19.8,0.14,-0.28
T5a,Tm1,27.1,-0.04,0.14
T5a,Tm2,38.5,-0.01,0.26
T5a,Tm4,21.4,-0.5,-0.18
T5a,Tm9,41.2,0.3,-0.24
T5b,T4b,7.4,0.01,-0.09
T5b,T5b,24.2,-0.11,0.11
T5b,Tm1,25.2,0.18,-0.08
T5b,Tm2,40.1,0.19,-0.12
T5b,Tm4,20.1,-0.38,-0.48
T5b,Tm9,46.0,-0.1,0.36
T5c,T4c,5.5,0.05,0.08
T5c,T5c,18.1,-0.4,-0.32
T5c,Tm1,28.5,0.28,0.18
T5c,Tm2,40.4,0.4,0.33
T5c,Tm4,24.1,-0.3,-0.22
T5c,Tm9,52.8,-0.32,-0.24
T5d,T4d,5.8,-0.08,0.11
T5d,T5d,18.7,0.36,0.3
T5d,Tm1,28.2,-0.08,-0.18
T5d,Tm2,36.1,-0.17,-0.21
T5d,Tm4,22.0,-0.52,-0.43
T5d,Tm9,48.4,0.41,0.46
